Date,Close,Weekly_Change(%)
2023-01-01,99.7,
2023-01-02,101.34,
2023-01-03,102.32,
2023-01-04,103.49,
2023-01-05,103.88,
2023-01-06,105.45,5.77
2023-01-07,106.67,5.26
2023-01-08,108.16,5.71
2023-01-09,108.45,4.79
2023-01-10,109.89,5.79
2023-01-11,108.13,2.54
2023-01-12,109.69,2.83
2023-01-13,109.4,1.15
2023-01-14,111.05,2.4
2023-01-15,108.87,-0.93
2023-01-16,108.85,0.67
2023-01-17,109.0,-0.63
2023-01-18,107.8,-1.46
2023-01-19,108.93,-1.91
2023-01-20,108.69,-0.17
2023-01-21,109.33,0.44
2023-01-22,109.45,0.41
2023-01-23,110.62,2.62
2023-01-24,109.98,0.96
2023-01-25,108.93,0.22
2023-01-26,108.82,-0.47
2023-01-27,110.01,0.51
2023-01-28,108.83,-1.62
2023-01-29,111.37,1.26
2023-01-30,111.05,1.95
2023-01-31,109.96,1.05
2023-02-01,109.12,-0.81
2023-02-02,111.47,2.43
2023-02-03,110.33,-0.93
2023-02-04,111.23,0.16
2023-02-05,108.89,-0.97
2023-02-06,109.31,0.17
2023-02-07,109.33,-1.92
2023-02-08,108.81,-1.38
2023-02-09,107.77,-3.11
2023-02-10,107.82,-0.98
2023-02-11,105.69,-3.31
2023-02-12,105.46,-3.54
2023-02-13,104.66,-3.81
2023-02-14,103.92,-3.57
2023-02-15,103.01,-4.46
2023-02-16,100.57,-4.84
2023-02-17,99.23,-5.91
2023-02-18,100.34,-4.13
2023-02-19,98.7,-5.02
2023-02-20,97.03,-5.81
2023-02-21,98.0,-2.56
2023-02-22,96.26,-2.99
2023-02-23,96.51,-3.82
2023-02-24,95.24,-3.51
2023-02-25,96.41,-0.64
2023-02-26,95.96,-2.08
2023-02-27,94.34,-1.99
2023-02-28,95.22,-1.34
2023-03-01,95.02,-0.23
2023-03-02,95.66,-0.78
2023-03-03,94.06,-1.98
2023-03-04,95.46,1.19
2023-03-05,95.92,0.74
2023-03-06,93.98,-1.09
2023-03-07,94.57,-1.14
2023-03-08,94.05,-0.01
2023-03-09,95.47,0.01
2023-03-10,96.27,0.36
2023-03-11,96.87,3.08
2023-03-12,95.79,1.29
2023-03-13,96.91,3.04
2023-03-14,94.59,-0.92
2023-03-15,94.28,-2.07
2023-03-16,95.45,-1.47
2023-03-17,95.75,-0.04
2023-03-18,95.45,-1.51
2023-03-19,93.99,-0.63
2023-03-20,95.61,1.41
2023-03-21,94.93,-0.54
2023-03-22,96.74,1.03
2023-03-23,96.95,1.57
2023-03-24,96.51,2.68
2023-03-25,97.49,1.97
2023-03-26,97.85,3.08
2023-03-27,99.47,2.82
2023-03-28,101.2,4.38
2023-03-29,100.79,4.43
2023-03-30,103.01,5.66
2023-03-31,103.38,5.65
2023-04-01,104.35,4.91
2023-04-02,106.03,4.77
2023-04-03,106.48,5.65
2023-04-04,107.95,4.8
2023-04-05,108.51,4.96
2023-04-06,111.85,7.19
2023-04-07,111.27,4.94
2023-04-08,111.49,4.71
2023-04-09,112.83,4.52
2023-04-10,113.14,4.27
2023-04-11,113.49,1.47
2023-04-12,114.44,2.85
2023-04-13,114.78,2.95
2023-04-14,113.96,1.0
2023-04-15,113.99,0.75
2023-04-16,114.22,0.64
2023-04-17,112.67,-1.55
2023-04-18,113.2,-1.38
2023-04-19,115.29,1.17
2023-04-20,115.44,1.27
2023-04-21,113.97,-0.22
2023-04-22,114.57,1.69
2023-04-23,114.39,1.05
2023-04-24,116.52,1.07
2023-04-25,115.15,-0.25
2023-04-26,114.34,0.32
2023-04-27,113.87,-0.61
2023-04-28,113.56,-0.73
2023-04-29,115.09,-1.23
2023-04-30,114.54,-0.53
2023-05-01,114.19,-0.13
2023-05-02,114.87,0.88
2023-05-03,114.59,0.91
2023-05-04,116.63,1.34
2023-05-05,115.91,1.2
2023-05-06,115.02,0.73
2023-05-07,115.81,0.82
2023-05-08,114.32,-0.24
2023-05-09,113.07,-3.05
2023-05-10,114.2,-1.48
2023-05-11,112.7,-2.02
2023-05-12,110.66,-4.45
2023-05-13,110.36,-3.46
2023-05-14,108.86,-3.72
2023-05-15,107.44,-5.92
2023-05-16,108.11,-4.07
2023-05-17,107.79,-2.59
2023-05-18,104.27,-5.52
2023-05-19,104.75,-3.78
2023-05-20,102.91,-4.22
2023-05-21,102.17,-5.49
2023-05-22,101.33,-5.99
2023-05-23,100.47,-3.64
2023-05-24,100.61,-3.95
2023-05-25,99.51,-3.3
2023-05-26,100.01,-2.11
2023-05-27,99.55,-1.76
2023-05-28,99.29,-1.17
2023-05-29,98.76,-1.84
2023-05-30,99.05,-0.46
2023-05-31,100.15,0.14
2023-06-01,100.1,0.55
2023-06-02,99.16,-0.13
2023-06-03,100.15,1.41
2023-06-04,100.81,1.78
2023-06-05,99.15,-1.0
2023-06-06,100.94,0.84
2023-06-07,100.12,0.97
2023-06-08,101.1,0.95
2023-06-09,100.12,-0.68
2023-06-10,99.32,0.17
2023-06-11,99.41,-1.52
2023-06-12,100.6,0.48
2023-06-13,100.69,-0.41
2023-06-14,99.76,-0.36
2023-06-15,100.88,1.57
