Date,Close,Weekly_Change(%)
2023-01-01,31.97,
2023-01-02,32.08,
2023-01-03,32.69,
2023-01-04,32.89,
2023-01-05,33.29,
2023-01-06,33.88,5.97
2023-01-07,34.42,7.29
2023-01-08,34.36,5.11
2023-01-09,34.19,3.95
2023-01-10,34.75,4.39
2023-01-11,35.07,3.51
2023-01-12,34.75,0.96
2023-01-13,34.93,1.66
2023-01-14,35.01,2.4
2023-01-15,34.84,0.26
2023-01-16,35.19,0.34
2023-01-17,35.0,0.72
2023-01-18,35.11,0.52
2023-01-19,34.77,-0.69
2023-01-20,34.86,0.06
2023-01-21,35.12,-0.2
2023-01-22,34.85,-0.43
2023-01-23,35.36,0.71
2023-01-24,34.87,0.29
2023-01-25,35.05,0.55
2023-01-26,35.26,0.4
2023-01-27,34.75,-0.29
2023-01-28,34.72,-1.81
2023-01-29,34.83,-0.11
2023-01-30,35.56,1.46
2023-01-31,35.17,-0.26
2023-02-01,35.95,3.45
2023-02-02,35.21,1.41
2023-02-03,35.38,1.58
2023-02-04,35.67,0.31
2023-02-05,35.71,1.54
2023-02-06,35.62,-0.92
2023-02-07,35.27,0.17
2023-02-08,35.05,-0.93
2023-02-09,34.74,-2.61
2023-02-10,34.54,-3.28
2023-02-11,33.95,-4.69
2023-02-12,33.58,-4.79
2023-02-13,33.46,-4.54
2023-02-14,33.09,-4.75
2023-02-15,32.68,-5.39
2023-02-16,32.62,-3.92
2023-02-17,32.35,-3.66
2023-02-18,31.82,-4.9
2023-02-19,31.86,-3.72
2023-02-20,30.96,-5.26
2023-02-21,30.94,-5.15
2023-02-22,30.6,-5.41
2023-02-23,30.15,-5.25
2023-02-24,30.44,-4.46
2023-02-25,30.33,-2.03
2023-02-26,30.65,-0.94
2023-02-27,30.4,-0.65
2023-02-28,29.99,-0.53
2023-03-01,30.7,0.85
2023-03-02,30.58,0.82
2023-03-03,30.47,-0.59
2023-03-04,30.33,-0.23
2023-03-05,30.21,0.73
2023-03-06,30.41,-0.94
2023-03-07,30.81,0.75
2023-03-08,31.04,1.87
2023-03-09,30.99,2.18
2023-03-10,30.52,1.03
2023-03-11,30.37,-0.13
2023-03-12,30.67,-0.45
2023-03-13,30.19,-2.74
2023-03-14,30.68,-1.0
2023-03-15,30.54,0.07
2023-03-16,30.45,0.26
2023-03-17,30.16,-1.66
2023-03-18,30.67,1.59
2023-03-19,30.44,-0.78
2023-03-20,30.34,-0.65
2023-03-21,30.0,-1.48
2023-03-22,30.79,2.09
2023-03-23,31.36,2.25
2023-03-24,31.51,3.52
2023-03-25,31.21,2.87
2023-03-26,31.42,4.73
2023-03-27,31.96,3.8
2023-03-28,31.91,1.75
2023-03-29,32.56,3.33
2023-03-30,33.03,5.83
2023-03-31,33.5,6.62
2023-04-01,33.56,5.01
2023-04-02,33.91,6.27
2023-04-03,34.11,4.76
2023-04-04,34.48,4.39
2023-04-05,34.96,4.36
2023-04-06,35.41,5.51
2023-04-07,35.82,5.63
2023-04-08,35.65,4.51
2023-04-09,36.41,5.6
2023-04-10,36.17,3.46
2023-04-11,36.36,2.68
2023-04-12,36.3,1.34
2023-04-13,35.97,0.9
2023-04-14,36.81,1.1
2023-04-15,36.79,1.71
2023-04-16,36.55,0.52
2023-04-17,36.62,0.88
2023-04-18,36.71,2.06
2023-04-19,36.19,-1.68
2023-04-20,36.42,-1.01
2023-04-21,36.72,0.47
2023-04-22,36.22,-1.09
2023-04-23,36.6,-0.3
2023-04-24,36.22,0.08
2023-04-25,36.69,0.74
2023-04-26,36.61,-0.3
2023-04-27,36.28,0.17
2023-04-28,37.0,1.09
2023-04-29,36.61,1.08
2023-04-30,36.64,-0.14
2023-05-01,36.93,0.87
2023-05-02,37.19,2.51
2023-05-03,36.68,-0.86
2023-05-04,36.93,0.87
2023-05-05,36.98,0.93
2023-05-06,36.98,0.14
2023-05-07,36.75,-1.18
2023-05-08,36.48,-0.55
2023-05-09,36.19,-2.0
2023-05-10,36.2,-2.11
2023-05-11,35.68,-3.52
2023-05-12,34.96,-4.87
2023-05-13,35.47,-2.77
2023-05-14,35.26,-2.57
2023-05-15,34.15,-5.66
2023-05-16,34.13,-4.34
2023-05-17,34.18,-2.23
2023-05-18,34.2,-3.58
2023-05-19,33.39,-5.3
2023-05-20,32.91,-3.63
2023-05-21,32.77,-3.98
2023-05-22,32.9,-3.74
2023-05-23,32.2,-5.85
2023-05-24,31.99,-4.19
2023-05-25,31.93,-2.98
2023-05-26,31.71,-3.23
2023-05-27,31.9,-3.04
2023-05-28,32.22,0.06
2023-05-29,31.9,-0.28
2023-05-30,31.77,-0.5
2023-05-31,31.8,0.28
2023-06-01,31.54,-1.13
2023-06-02,32.18,-0.12
2023-06-03,32.0,0.31
2023-06-04,32.04,0.85
2023-06-05,32.89,3.43
2023-06-06,32.24,2.22
2023-06-07,32.02,-0.5
2023-06-08,32.11,0.34
2023-06-09,32.5,1.44
2023-06-10,32.24,-1.98
2023-06-11,31.86,-1.18
2023-06-12,32.4,1.19
2023-06-13,32.0,-0.34
2023-06-14,32.59,0.28
2023-06-15,32.39,0.47
2023-06-16,32.03,0.53
2023-06-17,32.46,0.19
2023-06-18,32.22,0.69
2023-06-19,32.48,-0.34
2023-06-20,32.49,0.31
2023-06-21,32.31,0.87
2023-06-22,32.54,0.25
2023-06-23,33.15,2.89
2023-06-24,33.07,1.82
2023-06-25,33.33,2.59
2023-06-26,33.51,3.71
2023-06-27,34.17,5.01
2023-06-28,34.92,5.34
2023-06-29,34.53,4.41
2023-06-30,35.17,5.52
2023-07-01,35.88,7.07
2023-07-02,35.89,5.03
2023-07-03,36.37,4.15
2023-07-04,36.34,5.24
2023-07-05,37.0,5.2
2023-07-06,37.14,3.51
2023-07-07,37.66,4.93
2023-07-08,37.92,4.26
2023-07-09,38.43,5.75
2023-07-10,38.09,2.95
2023-07-11,38.13,2.67
2023-07-12,38.18,1.38
2023-07-13,38.09,0.45
2023-07-14,38.28,-0.39
2023-07-15,38.13,0.11
2023-07-16,38.23,0.26
2023-07-17,38.49,0.81
2023-07-18,37.91,-0.47
2023-07-19,38.4,0.31
2023-07-20,38.43,0.79
2023-07-21,38.08,-0.39
2023-07-22,37.6,-2.31
2023-07-23,37.98,0.18
2023-07-24,38.47,0.18
2023-07-25,38.2,-0.6
2023-07-26,38.01,-0.18
2023-07-27,38.19,1.57
2023-07-28,38.57,1.55
2023-07-29,38.55,0.21
2023-07-30,38.41,0.55
2023-07-31,38.41,1.05
2023-08-01,38.42,0.6
2023-08-02,38.28,-0.75
2023-08-03,38.85,0.78
2023-08-04,38.31,-0.26
2023-08-05,38.58,0.44
2023-08-06,38.51,0.23
2023-08-07,38.21,-0.18
2023-08-08,37.66,-3.06
2023-08-09,37.61,-1.83
2023-08-10,37.24,-3.47
2023-08-11,36.73,-4.62
2023-08-12,36.7,-3.95
2023-08-13,36.01,-4.38
2023-08-14,36.24,-3.64
2023-08-15,35.51,-4.65
2023-08-16,35.33,-3.81
2023-08-17,35.04,-4.52
2023-08-18,34.61,-3.89
2023-08-19,34.54,-4.69
2023-08-20,34.04,-4.14
2023-08-21,34.15,-3.34
2023-08-22,33.44,-4.57
2023-08-23,33.66,-2.74
2023-08-24,33.99,-1.59
2023-08-25,33.21,-2.44
2023-08-26,33.25,-2.64
2023-08-27,33.53,0.27
2023-08-28,33.46,-0.59
2023-08-29,33.53,-1.35
2023-08-30,33.61,1.2
2023-08-31,33.7,1.35
2023-09-01,33.87,1.01
2023-09-02,33.76,0.9
2023-09-03,33.65,0.36
2023-09-04,33.91,0.89
2023-09-05,34.24,1.6
2023-09-06,33.77,-0.3
2023-09-07,33.57,-0.56
2023-09-08,34.06,1.22
2023-09-09,33.75,-0.47
2023-09-10,33.24,-2.92
2023-09-11,33.95,0.53
2023-09-12,33.59,0.06
2023-09-13,33.69,-1.09
2023-09-14,33.79,0.12
2023-09-15,33.78,1.62
2023-09-16,33.95,0.0
2023-09-17,33.75,0.48
2023-09-18,34.08,1.16
2023-09-19,34.04,0.74
2023-09-20,34.45,1.98
2023-09-21,34.63,2.0
2023-09-22,34.51,2.25
2023-09-23,35.27,3.49
2023-09-24,35.19,3.38
2023-09-25,35.85,4.06
2023-09-26,36.09,4.22
2023-09-27,36.81,6.66
2023-09-28,36.69,4.03
2023-09-29,37.04,5.26
2023-09-30,37.48,4.55
2023-10-01,37.77,4.66
2023-10-02,38.37,4.24
2023-10-03,38.1,3.84
2023-10-04,38.51,3.97
2023-10-05,38.75,3.39
2023-10-06,39.45,4.45
2023-10-07,39.81,3.75
2023-10-08,39.51,3.7
2023-10-09,39.6,2.83
2023-10-10,39.73,2.53
2023-10-11,40.04,1.5
2023-10-12,39.56,-0.63
2023-10-13,39.84,0.84
2023-10-14,40.01,1.04
2023-10-15,39.87,0.35
2023-10-16,39.78,-0.65
2023-10-17,39.95,0.99
2023-10-18,39.05,-1.98
2023-10-19,39.85,-0.4
2023-10-20,39.54,-0.83
2023-10-21,39.27,-1.28
2023-10-22,39.87,-0.2
2023-10-23,40.11,2.71
2023-10-24,39.8,-0.13
2023-10-25,40.12,1.47
2023-10-26,40.33,2.7
2023-10-27,40.32,1.13
2023-10-28,40.44,0.82
2023-10-29,40.26,1.16
2023-10-30,40.11,-0.02
2023-10-31,39.7,-1.56
2023-11-01,39.98,-0.84
2023-11-02,39.77,-1.66
2023-11-03,40.39,0.32
2023-11-04,39.69,-1.05
2023-11-05,39.58,-0.3
2023-11-06,39.48,-1.25
2023-11-07,39.11,-1.66
2023-11-08,39.23,-2.87
2023-11-09,38.38,-3.3
2023-11-10,38.26,-3.34
2023-11-11,37.7,-4.51
2023-11-12,37.22,-4.83
2023-11-13,37.05,-5.56
2023-11-14,36.86,-3.96
2023-11-15,36.45,-4.73
2023-11-16,36.08,-4.3
2023-11-17,35.64,-4.25
2023-11-18,35.71,-3.62
2023-11-19,35.16,-4.61
2023-11-20,35.53,-2.52
2023-11-21,35.23,-2.36
2023-11-22,34.75,-2.5
2023-11-23,34.96,-2.1
2023-11-24,34.81,-1.0
2023-11-25,35.06,-1.32
2023-11-26,35.32,0.26
2023-11-27,34.58,-0.49
2023-11-28,35.1,0.4
2023-11-29,35.09,0.8
2023-11-30,35.35,0.83
2023-12-01,35.29,-0.08
2023-12-02,35.11,1.53
2023-12-03,35.26,0.46
2023-12-04,35.17,0.23
2023-12-05,35.64,0.82
2023-12-06,35.39,0.28
2023-12-07,35.84,2.08
2023-12-08,35.35,0.26
2023-12-09,35.18,0.03
2023-12-10,34.96,-1.91
2023-12-11,34.87,-1.47
2023-12-12,34.91,-2.59
2023-12-13,35.36,0.03
2023-12-14,35.44,0.74
2023-12-15,34.98,0.06
2023-12-16,35.65,2.24
2023-12-17,35.43,1.49
2023-12-18,35.72,1.02
2023-12-19,36.24,2.26
2023-12-20,36.28,3.72
2023-12-21,36.25,1.68
2023-12-22,36.38,2.68
2023-12-23,36.39,1.88
2023-12-24,37.06,2.26
2023-12-25,37.54,3.47
2023-12-26,37.72,4.06
2023-12-27,38.3,5.28
2023-12-28,38.72,6.4
2023-12-29,39.02,5.29
2023-12-30,39.27,4.61
2023-12-31,39.8,5.51
