Date,Close,Weekly_Change(%)
2023-01-01,72.13,
2023-01-02,74.11,
2023-01-03,75.8,
2023-01-04,74.75,
2023-01-05,76.36,
2023-01-06,76.6,6.2
2023-01-07,77.83,5.02
2023-01-08,78.17,3.13
2023-01-09,78.29,4.74
2023-01-10,79.31,3.86
2023-01-11,80.35,4.9
2023-01-12,79.49,2.13
2023-01-13,80.16,2.55
2023-01-14,79.16,1.11
2023-01-15,79.39,0.1
2023-01-16,80.18,-0.21
2023-01-17,80.71,1.53
2023-01-18,80.05,-0.14
2023-01-19,79.64,0.61
2023-01-20,79.76,0.47
2023-01-21,79.04,-1.42
2023-01-22,80.04,-0.83
2023-01-23,80.21,0.2
2023-01-24,79.52,-0.15
2023-01-25,79.58,-0.23
2023-01-26,80.07,1.3
2023-01-27,79.8,-0.3
2023-01-28,80.13,-0.1
2023-01-29,81.45,2.43
2023-01-30,80.29,0.89
2023-01-31,80.33,0.32
2023-02-01,80.24,0.55
2023-02-02,81.04,1.14
2023-02-03,80.51,-1.15
2023-02-04,80.16,-0.16
2023-02-05,81.08,0.93
2023-02-06,80.9,0.82
2023-02-07,79.48,-1.92
2023-02-08,78.38,-2.65
2023-02-09,79.47,-0.86
2023-02-10,77.99,-3.81
2023-02-11,78.17,-3.37
2023-02-12,75.98,-4.4
2023-02-13,76.82,-1.99
2023-02-14,74.91,-5.74
2023-02-15,75.21,-3.56
2023-02-16,74.04,-5.28
2023-02-17,72.75,-4.25
2023-02-18,72.33,-5.84
2023-02-19,72.24,-3.56
2023-02-20,71.3,-5.2
2023-02-21,71.01,-4.09
2023-02-22,71.29,-2.01
2023-02-23,68.95,-4.67
2023-02-24,70.37,-2.59
2023-02-25,69.31,-2.79
2023-02-26,68.6,-3.39
2023-02-27,68.27,-4.24
2023-02-28,68.88,-0.1
2023-03-01,69.52,-1.21
2023-03-02,69.01,-0.43
2023-03-03,70.02,2.07
2023-03-04,68.52,0.37
2023-03-05,69.44,0.81
2023-03-06,68.88,-0.92
2023-03-07,69.88,1.26
2023-03-08,70.26,0.34
2023-03-09,69.61,1.59
2023-03-10,68.46,-1.41
2023-03-11,70.01,1.64
2023-03-12,70.12,0.34
2023-03-13,70.07,-0.27
2023-03-14,70.48,1.25
2023-03-15,69.17,1.04
2023-03-16,70.08,0.1
2023-03-17,70.34,0.31
2023-03-18,68.72,-1.93
2023-03-19,69.92,-0.79
2023-03-20,69.57,0.58
2023-03-21,69.97,-0.16
2023-03-22,70.44,0.14
2023-03-23,70.3,2.3
2023-03-24,70.6,0.97
2023-03-25,71.47,2.73
2023-03-26,71.42,2.07
2023-03-27,72.05,2.29
2023-03-28,73.72,4.86
2023-03-29,73.48,4.08
2023-03-30,75.28,5.33
2023-03-31,76.01,6.43
2023-04-01,75.67,5.02
2023-04-02,77.09,4.57
2023-04-03,78.95,7.44
2023-04-04,78.57,4.37
2023-04-05,79.61,4.74
2023-04-06,80.82,6.81
2023-04-07,81.64,5.9
2023-04-08,81.63,3.39
2023-04-09,81.92,4.26
2023-04-10,83.43,4.8
2023-04-11,83.92,3.84
2023-04-12,83.74,2.57
2023-04-13,83.42,2.19
2023-04-14,83.04,1.37
2023-04-15,83.07,-0.43
2023-04-16,83.82,-0.12
2023-04-17,83.74,0.0
2023-04-18,84.23,0.97
2023-04-19,83.77,0.88
2023-04-20,82.55,-0.63
2023-04-21,83.91,0.11
2023-04-22,82.78,-1.15
2023-04-23,83.13,-1.31
2023-04-24,83.51,-0.31
2023-04-25,84.54,2.41
2023-04-26,85.24,1.59
2023-04-27,83.98,1.45
2023-04-28,83.68,0.66
2023-04-29,84.2,0.83
2023-04-30,84.52,-0.02
2023-05-01,83.96,-1.5
2023-05-02,85.19,1.44
2023-05-03,84.37,0.82
2023-05-04,84.49,0.34
2023-05-05,84.49,-0.04
2023-05-06,84.2,0.29
2023-05-07,84.19,-1.17
2023-05-08,83.08,-1.53
2023-05-09,82.71,-2.11
2023-05-10,81.93,-3.03
2023-05-11,82.22,-2.35
2023-05-12,81.78,-2.86
2023-05-13,80.92,-2.6
2023-05-14,80.86,-2.24
2023-05-15,79.18,-3.36
2023-05-16,78.78,-4.18
2023-05-17,77.04,-5.8
2023-05-18,76.67,-5.25
2023-05-19,76.54,-5.34
2023-05-20,75.94,-4.09
2023-05-21,74.69,-5.19
2023-05-22,74.26,-3.61
2023-05-23,72.99,-4.8
2023-05-24,73.22,-4.34
2023-05-25,73.58,-3.11
2023-05-26,73.17,-2.04
2023-05-27,72.97,-1.74
2023-05-28,72.64,-0.48
2023-05-29,72.59,-0.86
2023-05-30,72.26,-1.79
2023-05-31,73.08,-0.12
2023-06-01,73.03,0.08
2023-06-02,73.19,0.76
2023-06-03,72.76,0.23
2023-06-04,72.0,-0.36
2023-06-05,73.89,1.11
2023-06-06,73.12,0.12
2023-06-07,72.98,-0.29
2023-06-08,73.87,1.53
2023-06-09,73.29,1.79
2023-06-10,74.07,0.24
2023-06-11,73.8,0.93
2023-06-12,73.79,1.11
2023-06-13,72.62,-1.69
2023-06-14,73.98,0.94
2023-06-15,73.44,-0.85
2023-06-16,73.1,-0.95
2023-06-17,73.43,-0.49
2023-06-18,72.48,-0.19
2023-06-19,73.85,-0.18
2023-06-20,73.3,-0.19
2023-06-21,73.44,0.47
2023-06-22,73.74,0.42
2023-06-23,75.67,4.4
2023-06-24,75.28,1.94
2023-06-25,77.1,5.18
2023-06-26,76.67,4.4
2023-06-27,76.79,4.14
2023-06-28,77.92,2.97
2023-06-29,80.04,6.32
2023-06-30,80.13,3.93
2023-07-01,80.77,5.35
2023-07-02,82.0,6.78
2023-07-03,82.99,6.51
2023-07-04,84.09,5.06
2023-07-05,84.97,6.04
2023-07-06,84.62,4.77
2023-07-07,84.65,3.23
2023-07-08,85.63,3.18
2023-07-09,86.4,2.75
2023-07-10,86.05,1.27
2023-07-11,86.29,1.97
2023-07-12,87.17,2.98
2023-07-13,87.06,1.67
2023-07-14,87.15,0.87
2023-07-15,86.73,0.79
2023-07-16,86.99,0.81
2023-07-17,86.57,-0.69
2023-07-18,87.51,0.52
2023-07-19,87.55,0.46
2023-07-20,85.94,-0.91
2023-07-21,86.42,-0.66
2023-07-22,86.13,-0.51
2023-07-23,86.63,-1.01
2023-07-24,87.01,-0.62
2023-07-25,86.35,0.48
2023-07-26,86.76,0.39
2023-07-27,86.84,0.82
2023-07-28,87.63,1.15
2023-07-29,87.68,0.77
2023-07-30,87.35,1.16
2023-07-31,87.92,1.34
2023-08-01,87.55,0.82
2023-08-02,87.68,0.06
2023-08-03,88.66,1.12
2023-08-04,88.31,1.1
2023-08-05,86.63,-1.47
2023-08-06,87.48,-0.08
2023-08-07,87.07,-0.7
2023-08-08,85.51,-3.55
2023-08-09,86.03,-2.58
2023-08-10,85.8,-0.96
2023-08-11,83.67,-4.36
2023-08-12,83.05,-4.62
2023-08-13,83.35,-2.53
2023-08-14,82.17,-4.49
2023-08-15,81.55,-4.95
2023-08-16,80.68,-3.57
2023-08-17,79.98,-3.7
2023-08-18,78.36,-5.99
2023-08-19,79.04,-3.81
2023-08-20,78.55,-3.68
2023-08-21,77.3,-4.19
2023-08-22,77.0,-3.73
2023-08-23,75.87,-3.18
2023-08-24,76.75,-2.9
2023-08-25,76.62,-2.46
2023-08-26,76.19,-1.44
2023-08-27,76.82,-0.23
2023-08-28,76.05,0.24
2023-08-29,76.61,-0.18
2023-08-30,75.85,-1.0
2023-08-31,76.52,0.43
2023-09-01,76.57,-0.33
2023-09-02,76.91,1.13
2023-09-03,76.7,0.12
2023-09-04,76.92,1.41
2023-09-05,77.52,1.31
2023-09-06,76.86,0.38
2023-09-07,76.24,-0.87
2023-09-08,78.06,1.77
2023-09-09,77.83,1.18
2023-09-10,76.32,-1.55
2023-09-11,77.35,0.64
2023-09-12,76.65,0.54
2023-09-13,77.05,-1.29
2023-09-14,77.07,-0.98
2023-09-15,76.83,0.67
2023-09-16,76.64,-0.92
2023-09-17,76.85,0.26
2023-09-18,76.97,-0.1
2023-09-19,77.33,0.34
2023-09-20,78.15,1.72
2023-09-21,78.28,2.14
2023-09-22,79.6,3.58
2023-09-23,80.68,4.82
2023-09-24,80.25,3.78
2023-09-25,81.46,4.24
2023-09-26,82.41,5.28
2023-09-27,83.24,4.57
2023-09-28,83.87,3.95
2023-09-29,85.09,6.03
2023-09-30,85.78,5.3
2023-10-01,85.65,3.93
2023-10-02,87.56,5.19
2023-10-03,88.28,5.26
2023-10-04,88.01,3.43
2023-10-05,89.01,3.77
2023-10-06,89.85,4.9
2023-10-07,89.76,2.51
2023-10-08,90.77,2.82
2023-10-09,91.72,4.22
2023-10-10,90.16,1.29
2023-10-11,89.94,0.1
2023-10-12,90.91,1.28
2023-10-13,91.15,0.42
2023-10-14,90.6,-1.22
2023-10-15,91.48,1.46
2023-10-16,89.9,-0.04
2023-10-17,90.97,0.07
2023-10-18,90.22,-1.02
2023-10-19,91.48,0.97
2023-10-20,91.65,0.19
2023-10-21,90.18,0.31
2023-10-22,90.36,-0.67
2023-10-23,91.23,1.12
2023-10-24,90.66,-0.9
2023-10-25,90.97,-0.74
2023-10-26,91.14,1.06
2023-10-27,90.2,-0.18
2023-10-28,91.35,0.13
2023-10-29,91.05,0.43
2023-10-30,91.19,0.24
2023-10-31,92.23,1.2
2023-11-01,90.66,0.51
2023-11-02,91.64,0.32
2023-11-03,90.8,-0.27
2023-11-04,90.48,-0.78
2023-11-05,90.67,-1.69
2023-11-06,89.94,-0.79
2023-11-07,89.51,-2.32
2023-11-08,89.1,-1.87
2023-11-09,87.71,-3.06
2023-11-10,86.83,-4.24
2023-11-11,85.81,-4.59
2023-11-12,85.18,-4.84
2023-11-13,86.48,-2.94
2023-11-14,84.79,-3.33
2023-11-15,82.64,-4.83
2023-11-16,81.97,-4.48
2023-11-17,82.34,-3.33
2023-11-18,81.82,-5.39
2023-11-19,81.34,-4.07
2023-11-20,80.5,-2.59
2023-11-21,80.25,-2.1
2023-11-22,80.26,-2.53
2023-11-23,79.97,-2.26
2023-11-24,78.62,-3.34
2023-11-25,79.68,-1.02
2023-11-26,79.37,-1.1
2023-11-27,80.01,-0.31
2023-11-28,81.65,2.1
2023-11-29,80.34,2.19
2023-11-30,80.1,0.53
2023-12-01,80.9,1.93
2023-12-02,80.78,0.96
2023-12-03,80.84,-0.99
2023-12-04,81.01,0.83
2023-12-05,81.84,2.17
2023-12-06,80.11,-0.98
2023-12-07,80.97,0.24
2023-12-08,80.17,-0.83
2023-12-09,80.94,-0.09
2023-12-10,80.08,-2.15
2023-12-11,80.31,0.25
2023-12-12,80.35,-0.77
2023-12-13,81.06,1.11
2023-12-14,81.07,0.16
2023-12-15,79.99,-0.11
2023-12-16,80.87,0.7
2023-12-17,80.69,0.42
2023-12-18,80.71,-0.43
2023-12-19,81.68,0.75
2023-12-20,82.11,2.65
2023-12-21,84.17,4.08
2023-12-22,83.71,3.74
2023-12-23,83.43,3.37
2023-12-24,84.63,3.61
2023-12-25,86.31,5.12
2023-12-26,87.73,4.23
2023-12-27,86.57,3.42
2023-12-28,87.26,4.59
2023-12-29,90.15,6.52
2023-12-30,90.15,4.45
2023-12-31,90.22,2.84
